,time,Ciutadella,Eixample,Gracia-SantGervasi,Poblenou,Sants,timestamp
34271,2017-06-03T01:00:00,0.2659166132890996,0.2754833125384274,0.2946167110370829,0.3265057085348421,0.2212720167922367,415681.0
34272,2017-06-03T02:00:00,0.2372165155411163,0.2467832147904441,0.2404054152908923,0.2850500117877552,0.1989497185438054,415682.0
34273,2017-06-03T03:00:00,0.1989497185438054,0.2276498162917886,0.2754833125384274,0.2786722122882033,0.1989497185438054,415683.0
34274,2017-06-03T04:00:00,0.2595388137895478,0.2946167110370829,0.253161014289996,0.2754833125384274,0.2340276157913404,415684.0
34275,2017-06-03T05:00:00,0.2627277135393237,0.2340276157913404,0.2148942172926849,0.2946167110370829,0.2148942172926849,415685.0
34276,2017-06-03T06:00:00,0.2467832147904441,0.3105612097859625,0.2180831170424608,0.2818611120379792,0.1830052197949258,415686.0
34277,2017-06-03T07:00:00,0.3009945105366348,0.2722944127886514,0.2244609165420127,0.3233168087850662,0.2595388137895478,415687.0
34278,2017-06-03T08:00:00,0.3392613075339458,0.2754833125384274,0.2850500117877552,0.332883508034394,0.253161014289996,415688.0
34279,2017-06-03T09:00:00,0.253161014289996,0.2563499140397718,0.2467832147904441,0.3105612097859625,0.211705317542909,415689.0
34280,2017-06-03T10:00:00,0.2372165155411163,0.2818611120379792,0.2691055130388756,0.2467832147904441,0.1925719190442535,415690.0
34281,2017-06-03T11:00:00,0.2722944127886514,0.3265057085348421,0.3041834102864106,0.253161014289996,0.1989497185438054,415691.0
34282,2017-06-03T12:00:00,0.211705317542909,0.2818611120379792,0.2148942172926849,0.2754833125384274,0.173438520545598,415692.0
34283,2017-06-03T13:00:00,0.3807170042810328,0.2818611120379792,0.2435943150406682,0.3392613075339458,0.1925719190442535,415693.0
34284,2017-06-03T14:00:00,0.2308387160415645,0.253161014289996,0.2021386182935813,0.2372165155411163,0.1830052197949258,415694.0
34285,2017-06-03T15:00:00,0.1861941195447017,0.2276498162917886,0.173438520545598,0.1861941195447017,0.1798163200451498,415695.0
34286,2017-06-03T16:00:00,0.173438520545598,0.2404054152908923,0.1861941195447017,0.1830052197949258,0.1606829215464943,415696.0
34287,2017-06-03T17:00:00,0.3201279090352902,0.3073723100361866,0.2340276157913404,0.2467832147904441,0.1861941195447017,415697.0
34288,2017-06-03T18:00:00,0.3807170042810328,0.3137501095357384,0.2372165155411163,0.3488280067832736,0.1830052197949258,415698.0
34289,2017-06-03T19:00:00,0.3583947060326013,0.3456391070334976,0.288238911537531,0.3966615030299124,0.1861941195447017,415699.0
34290,2017-06-03T20:00:00,0.288238911537531,0.3201279090352902,0.3201279090352902,0.367961405281929,0.2021386182935813,415700.0
34291,2017-06-03T21:00:00,0.291427811287307,0.2691055130388756,0.291427811287307,0.367961405281929,0.1989497185438054,415701.0
34292,2017-06-03T22:00:00,0.2595388137895478,0.288238911537531,0.2435943150406682,0.2563499140397718,0.2021386182935813,415702.0
34293,2017-06-03T23:00:00,0.1574940217967184,0.2404054152908923,0.1925719190442535,0.1766274202953739,0.1798163200451498,415703.0
34294,2017-06-04T00:00:00,0.1642384808439889,0.2343942753390591,0.1865607790924203,0.1769940798430926,0.1706162803435407,415704.0
