nom_estacio,data,hour,NO2,has_null
Poblenou,2013-01-01,1,45.96885371098973,False
Poblenou,2013-01-01,2,67.96885371098972,False
Poblenou,2013-01-01,3,60.96885371098973,False
Poblenou,2013-01-01,4,65.96885371098972,False
Poblenou,2013-01-01,5,58.96885371098973,False
Poblenou,2013-01-01,6,43.96885371098973,False
Poblenou,2013-01-01,7,34.96885371098973,False
Poblenou,2013-01-01,8,27.968853710989727,False
Poblenou,2013-01-01,9,44.96885371098973,False
Poblenou,2013-01-01,10,54.96885371098973,False
Poblenou,2013-01-01,11,33.96885371098973,False
Poblenou,2013-01-01,12,28.968853710989727,False
Poblenou,2013-01-01,13,32.96885371098973,False
Poblenou,2013-01-01,14,38.96885371098973,False
Poblenou,2013-01-01,15,46.96885371098973,False
Poblenou,2013-01-01,16,47.96885371098973,False
Poblenou,2013-01-01,17,49.96885371098973,False
Poblenou,2013-01-01,18,62.96885371098973,False
Poblenou,2013-01-01,19,69.96885371098972,False
Poblenou,2013-01-01,20,84.96885371098972,False
Poblenou,2013-01-01,21,83.96885371098972,False
Poblenou,2013-01-01,22,82.96885371098972,False
Poblenou,2013-01-01,23,75.96885371098972,False
Poblenou,2013-01-01,24,71.96885371098972,False
Poblenou,2013-01-02,1,83.35161202598037,False
Poblenou,2013-01-02,2,77.35161202598037,False
Poblenou,2013-01-02,3,72.35161202598037,False
Poblenou,2013-01-02,4,70.35161202598037,False
Poblenou,2013-01-02,5,67.35161202598037,False
Poblenou,2013-01-02,6,69.35161202598037,False
Poblenou,2013-01-02,7,72.35161202598037,False
Poblenou,2013-01-02,8,80.35161202598037,False
Poblenou,2013-01-02,9,86.35161202598037,False
Poblenou,2013-01-02,10,88.35161202598037,False
Poblenou,2013-01-02,11,88.35161202598037,False
Poblenou,2013-01-02,12,86.35161202598037,False
Poblenou,2013-01-02,13,74.35161202598037,False
Poblenou,2013-01-02,14,71.35161202598037,False
Poblenou,2013-01-02,15,71.35161202598037,False
Poblenou,2013-01-02,18,104.35161202598036,False
Poblenou,2013-01-02,19,111.35161202598036,False
Poblenou,2013-01-02,20,121.35161202598036,False
Poblenou,2013-01-02,21,120.35161202598036,False
Poblenou,2013-01-02,22,101.35161202598036,False
Poblenou,2013-01-02,23,99.35161202598036,False
Poblenou,2013-01-02,24,93.35161202598036,False
Poblenou,2013-01-03,1,78.95741092117896,False
Poblenou,2013-01-03,2,76.95741092117898,False
Poblenou,2013-01-03,3,69.95741092117898,False
Poblenou,2013-01-03,4,66.95741092117898,False
Poblenou,2013-01-03,5,65.95741092117898,False
Poblenou,2013-01-03,6,61.95741092117897,False
Poblenou,2013-01-03,7,67.95741092117898,False
Poblenou,2013-01-03,8,74.95741092117898,False
Poblenou,2013-01-03,9,80.95741092117896,False
Poblenou,2013-01-03,10,83.95741092117896,False
Poblenou,2013-01-03,11,87.95741092117896,False
Poblenou,2013-01-03,12,87.95741092117896,False
Poblenou,2013-01-03,13,90.95741092117896,False
Poblenou,2013-01-03,14,76.95741092117898,False
Poblenou,2013-01-03,15,81.95741092117896,False
Poblenou,2013-01-03,16,89.95741092117896,False
Poblenou,2013-01-03,17,94.95741092117896,False
Poblenou,2013-01-03,18,85.95741092117896,False
Poblenou,2013-01-03,19,126.95741092117896,False
Poblenou,2013-01-03,20,144.95741092117896,False
Poblenou,2013-01-03,21,134.95741092117896,False
Poblenou,2013-01-03,22,116.95741092117896,False
Poblenou,2013-01-03,23,110.95741092117896,False
Poblenou,2013-01-03,24,113.95741092117896,False
Poblenou,2013-01-04,1,117.9424558712001,False
Poblenou,2013-01-04,2,112.9424558712001,False
Poblenou,2013-01-04,3,100.94245587120008,False
Poblenou,2013-01-04,4,101.94245587120008,False
Poblenou,2013-01-04,5,98.94245587120008,False
Poblenou,2013-01-04,6,77.9424558712001,False
Poblenou,2013-01-04,7,77.9424558712001,False
Poblenou,2013-01-04,8,87.94245587120008,False
Poblenou,2013-01-04,9,90.94245587120008,False
Poblenou,2013-01-04,10,84.94245587120008,False
Poblenou,2013-01-04,11,79.94245587120008,False
Poblenou,2013-01-04,12,77.9424558712001,False
Poblenou,2013-01-04,13,78.9424558712001,False
Poblenou,2013-01-04,14,80.94245587120008,False
Poblenou,2013-01-04,15,91.94245587120008,False
Poblenou,2013-01-04,16,100.94245587120008,False
Poblenou,2013-01-04,17,112.9424558712001,False
Poblenou,2013-01-04,18,121.9424558712001,False
Poblenou,2013-01-04,19,123.9424558712001,False
Poblenou,2013-01-04,20,125.9424558712001,False
Poblenou,2013-01-04,21,116.9424558712001,False
Poblenou,2013-01-04,22,111.9424558712001,False
Poblenou,2013-01-04,23,113.9424558712001,False
Poblenou,2013-01-04,24,110.9424558712001,False
Poblenou,2013-01-05,1,129.2998495011029,False
Poblenou,2013-01-05,2,117.2998495011029,False
Poblenou,2013-01-05,3,109.2998495011029,False
Poblenou,2013-01-05,4,96.2998495011029,False
Poblenou,2013-01-05,5,86.2998495011029,False
Poblenou,2013-01-05,6,88.2998495011029,False
Poblenou,2013-01-05,7,104.2998495011029,False
Poblenou,2013-01-05,8,114.2998495011029,False
Poblenou,2013-01-05,9,107.2998495011029,False
Poblenou,2013-01-05,10,111.2998495011029,False
Poblenou,2013-01-05,11,102.2998495011029,False
Poblenou,2013-01-05,12,99.2998495011029,False
Poblenou,2013-01-05,13,97.2998495011029,False
Poblenou,2013-01-05,14,110.2998495011029,False
Poblenou,2013-01-05,15,100.2998495011029,False
Poblenou,2013-01-05,16,119.2998495011029,False
Poblenou,2013-01-05,17,117.2998495011029,False
