nom_estacio,data,hour,NO2,has_null
Sants,2013-01-01,1,34.96885371098973,False
Sants,2013-01-01,2,51.96885371098973,False
Sants,2013-01-01,3,42.96885371098973,False
Sants,2013-01-01,4,45.96885371098973,False
Sants,2013-01-01,5,37.96885371098973,False
Sants,2013-01-01,6,32.96885371098973,False
Sants,2013-01-01,7,25.968853710989727,False
Sants,2013-01-01,8,23.968853710989727,False
Sants,2013-01-01,9,24.968853710989727,False
Sants,2013-01-01,10,24.968853710989727,False
Sants,2013-01-01,11,27.968853710989727,False
Sants,2013-01-01,12,27.968853710989727,False
Sants,2013-01-01,13,34.96885371098973,False
Sants,2013-01-01,14,46.96885371098973,False
Sants,2013-01-01,15,45.96885371098973,False
Sants,2013-01-01,16,40.96885371098973,False
Sants,2013-01-01,17,46.96885371098973,False
Sants,2013-01-01,18,55.96885371098973,False
Sants,2013-01-01,19,66.96885371098972,False
Sants,2013-01-01,20,84.96885371098972,False
Sants,2013-01-01,21,80.96885371098972,False
Sants,2013-01-01,22,103.96885371098972,False
Sants,2013-01-01,23,110.96885371098972,False
Sants,2013-01-01,24,96.96885371098972,False
Sants,2013-01-02,1,68.35161202598037,False
Sants,2013-01-02,2,56.35161202598037,False
Sants,2013-01-02,3,55.35161202598037,False
Sants,2013-01-02,4,46.35161202598037,False
Sants,2013-01-02,5,46.35161202598037,False
Sants,2013-01-02,6,53.35161202598037,False
Sants,2013-01-02,7,78.35161202598037,False
Sants,2013-01-02,8,98.35161202598036,False
Sants,2013-01-02,9,104.35161202598036,False
Sants,2013-01-02,10,93.35161202598036,False
Sants,2013-01-02,11,90.35161202598036,False
Sants,2013-01-02,12,62.35161202598037,False
Sants,2013-01-02,13,58.35161202598037,False
Sants,2013-01-02,14,54.35161202598037,False
Sants,2013-01-02,15,61.35161202598037,False
Sants,2013-01-02,16,81.35161202598037,False
Sants,2013-01-02,17,86.35161202598037,False
Sants,2013-01-02,18,93.35161202598036,False
Sants,2013-01-02,19,102.35161202598036,False
Sants,2013-01-02,20,110.35161202598036,False
Sants,2013-01-02,21,120.35161202598036,False
Sants,2013-01-02,22,112.35161202598036,False
Sants,2013-01-02,23,115.35161202598036,False
Sants,2013-01-02,24,114.35161202598036,False
Sants,2013-01-03,1,96.95741092117896,False
Sants,2013-01-03,2,73.95741092117898,False
Sants,2013-01-03,3,67.95741092117898,False
Sants,2013-01-03,4,50.95741092117897,False
Sants,2013-01-03,5,43.95741092117897,False
Sants,2013-01-03,6,46.95741092117897,False
Sants,2013-01-03,7,56.95741092117897,False
Sants,2013-01-03,8,78.95741092117896,False
Sants,2013-01-03,9,74.95741092117898,False
Sants,2013-01-03,10,84.95741092117896,False
Sants,2013-01-03,11,105.95741092117896,False
Sants,2013-01-03,12,102.95741092117896,False
Sants,2013-01-03,13,87.95741092117896,False
Sants,2013-01-03,14,70.95741092117898,False
Sants,2013-01-03,15,63.95741092117897,False
Sants,2013-01-03,16,71.95741092117898,False
Sants,2013-01-03,17,97.95741092117896,False
Sants,2013-01-03,18,90.95741092117896,False
Sants,2013-01-03,19,110.95741092117896,False
Sants,2013-01-03,20,106.95741092117896,False
Sants,2013-01-03,21,81.95741092117896,False
Sants,2013-01-03,22,93.95741092117896,False
Sants,2013-01-03,23,85.95741092117896,False
Sants,2013-01-03,24,83.95741092117896,False
Sants,2013-01-04,1,67.9424558712001,False
Sants,2013-01-04,2,70.9424558712001,False
Sants,2013-01-04,3,73.9424558712001,False
Sants,2013-01-04,4,72.9424558712001,False
Sants,2013-01-04,5,64.9424558712001,False
Sants,2013-01-04,6,74.9424558712001,False
Sants,2013-01-04,7,71.9424558712001,False
Sants,2013-01-04,8,72.9424558712001,False
Sants,2013-01-04,9,74.9424558712001,False
Sants,2013-01-04,10,77.9424558712001,False
Sants,2013-01-04,11,76.9424558712001,False
Sants,2013-01-04,12,73.9424558712001,False
Sants,2013-01-04,13,76.9424558712001,False
Sants,2013-01-04,14,73.9424558712001,False
Sants,2013-01-04,15,72.9424558712001,False
Sants,2013-01-04,16,78.9424558712001,False
Sants,2013-01-04,17,92.94245587120008,False
Sants,2013-01-04,19,117.9424558712001,False
Sants,2013-01-04,20,125.9424558712001,False
Sants,2013-01-04,21,110.9424558712001,False
Sants,2013-01-04,22,127.9424558712001,False
Sants,2013-01-04,23,157.9424558712001,False
Sants,2013-01-04,24,158.9424558712001,False
Sants,2013-01-05,1,183.2998495011029,False
Sants,2013-01-05,2,158.2998495011029,False
Sants,2013-01-05,3,121.2998495011029,False
Sants,2013-01-05,4,109.2998495011029,False
Sants,2013-01-05,5,136.2998495011029,False
Sants,2013-01-05,6,119.2998495011029,False
Sants,2013-01-05,7,112.2998495011029,False
Sants,2013-01-05,8,97.2998495011029,False
Sants,2013-01-05,9,99.2998495011029,False
Sants,2013-01-05,10,92.2998495011029,False
Sants,2013-01-05,11,94.2998495011029,False
Sants,2013-01-05,12,91.2998495011029,False
Sants,2013-01-05,13,96.2998495011029,False
Sants,2013-01-05,14,96.2998495011029,False
Sants,2013-01-05,15,100.2998495011029,False
Sants,2013-01-05,16,96.2998495011029,False
Sants,2013-01-05,17,98.2998495011029,False
Sants,2013-01-05,18,100.2998495011029,False
Sants,2013-01-05,19,99.2998495011029,False
Sants,2013-01-05,20,97.2998495011029,False
Sants,2013-01-05,21,107.2998495011029,False
Sants,2013-01-05,22,100.2998495011029,False
Sants,2013-01-05,23,97.2998495011029,False
Sants,2013-01-05,24,96.2998495011029,False
Sants,2013-01-06,1,123.60651878670518,False
